"File","Category","Placement","Blocks movement?","Goes with","Draft notes / questions","Review status","Your notes"
"Acid puddle.png","Floor decal / hazard (?)","Place in a contained damp or alchemy area, leaving a clear bypass.","No (hazard behavior unconfirmed)","Potion Mana.png; Rock01.png","Confirm whether it is harmful, impassable, or cosmetic. Do not put an unapproved hazard on a mandatory route.","Draft",""
"Apple.png","Tabletop detail / pickup","Place on dining tables or near food storage.","No","Table Long.png; Chair01.png; Crate 01.png","Suggested decorative food. Healing or pickup behavior is unconfirmed.","Draft",""
"Blood.png","Floor decal","Place a small stain near a deliberate danger or aftermath scene.","No","Skulls.png; Sword.png","Cosmetic by default; do not imply damage or tracking mechanics.","Draft",""
"Board Large.png","Display platform / slab (?)","Use as a low display base against a wall or under a focal object.","Yes (confirm)","Throne.png; Shield.png; Vase Grey.png","Identity uncertain: visually resembles a raised slab or plinth. Confirm whether it is furniture, a platform, or architectural trim.","Draft",""
"Board Medium.png","Display platform / slab (?)","Use as a low display base against a wall or under a focal object.","Yes (confirm)","Throne.png; Shield.png; Vase Grey.png","Identity uncertain: visually resembles a raised slab or plinth. Confirm whether it is furniture, a platform, or architectural trim.","Draft",""
"Board Small.png","Display platform / slab (?)","Use as a low display base against a wall or under a focal object.","Yes (confirm)","Throne.png; Shield.png; Vase Grey.png","Identity uncertain: visually resembles a raised slab or plinth. Confirm whether it is furniture, a platform, or architectural trim.","Draft",""
"Book Green.png","Tabletop / floor detail","Place on reading tables or sparsely beside shelves.","No","Table.png; Book shelf 01.png; Pile of Books 02.png","Use colors as visual variation, not automatic rarity or magic effects.","Draft",""
"Book Red.png","Tabletop / floor detail","Place on reading tables or sparsely beside shelves.","No","Table.png; Book shelf 01.png; Pile of Books 02.png","Use colors as visual variation, not automatic rarity or magic effects.","Draft",""
"Book Yellow.png","Tabletop / floor detail","Place on reading tables or sparsely beside shelves.","No","Table.png; Book shelf 01.png; Pile of Books 02.png","Use colors as visual variation, not automatic rarity or magic effects.","Draft",""
"Book shelf 01.png","Furniture","Back against a solid wall. Keep the front accessible.","Yes","Table.png; Chair01.png; Pile of Books 01.png","Group into short shelf runs with gaps at doors.","Draft",""
"Book shelf 02.png","Furniture","Back against a solid wall. Keep the front accessible.","Yes","Table.png; Chair01.png; Pile of Books 01.png","Tall shelf: reserve visual clearance above its base. Do not treat sprite height as footprint depth.","Draft",""
