File,Category,Placement,Blocks movement?,Goes with,Draft notes / questions
Acid puddle.png,Floor decal,Place on adjacent tile near acid tiles,No (hazard behavior unconfirmed),Potion Mana.png; Rock01.png,"Confirm whether it is harmful, impassable, or cosmetic. Do not put an unapproved hazard on a mandatory route."
Apple.png,Tabletop detail / pickup,Place on table or board,No,Table Long.png; Chair01.png; Crate 01.png,Suggested decorative food. Healing or pickup behavior is unconfirmed.
Blood.png,Floor decal,Place a small stain near a trap or enemy,No,Skulls.png; Sword.png,Cosmetic by default; do not imply damage or tracking mechanics.
Board Large.png,Display platform,Use as a low display base against a wall or under a focal object.,Yes,Throne.png; Shield.png; Vase Grey.png,"Can be used similar to tables to place items but more for potions, books, or scrolls"
Board Medium.png,Display platform,Use as a low display base against a wall or under a focal object.,Yes,Throne.png; Shield.png; Vase Grey.png,"Can be used similar to tables to place items but more for potions, books, or scrolls"
Board Small.png,Display platform,Use as a low display base against a wall or under a focal object.,Yes,Throne.png; Shield.png; Vase Grey.png,"Can be used similar to tables to place items but more for potions, books, or scrolls"
Book Green.png,Tabletop / floor detail,Place on reading tables or sparsely beside shelves.,No,Table.png; Book shelf 01.png; Pile of Books 02.png,"Use colors as visual variation, not automatic rarity or magic effects."
Book Red.png,Tabletop / floor detail,Place on reading tables or sparsely beside shelves.,No,Table.png; Book shelf 01.png; Pile of Books 02.png,"Use colors as visual variation, not automatic rarity or magic effects."
Book Yellow.png,Tabletop / floor detail,Place on reading tables or sparsely beside shelves.,No,Table.png; Book shelf 01.png; Pile of Books 02.png,"Use colors as visual variation, not automatic rarity or magic effects."
Book shelf 01.png,Furniture,Back against a solid wall. Keep the front accessible.,Yes,Table.png; Chair01.png; Pile of Books 01.png,Group into short shelf runs with gaps at doors.
Book shelf 02.png,Furniture,Back against a solid wall. Keep the front accessible.,Yes,Table.png; Chair01.png; Pile of Books 01.png,Tall shelf: reserve visual clearance above its base. Do not treat sprite height as footprint depth.
Botton 01.png,Interactive fixture,"Used alongside locked doors, hidden areas, placed on the floor",No,Door Closed.png; Iron Door.png,Used for later switch mechanics if they get added
Botton 02.png,Interactive fixture,"Used alongside locked doors, hidden areas, placed on the floor",No,Door Closed.png; Iron Door.png,Used for later switch mechanics if they get added
Botton 03.png,Interactive fixture,"Used alongside locked doors, hidden areas, placed on the floor",No,Door Closed.png; Iron Door.png,Used for later switch mechanics if they get added
Botton 04.png,Interactive fixture,"Used alongside locked doors, hidden areas, placed on the floor",No,Door Closed.png; Iron Door.png,Used for later switch mechanics if they get added
Chair01.png,Furniture,"Place beside a table, facing it, with space to approach.",Yes,Table.png; Table Long.png,Front-view chair. Confirm suitable table side; do not rotate.
Chair02.png,Furniture,"Place beside a table, facing it, with space to approach.",Yes,Table.png; Table Long.png,Side-view chair. Use its facing direction when choosing table side.
Chest.png,Reward container,"Place in a reachable treasure alcove or against a wall, away from doorways.",Yes,Gold01.png; Gold02.png; Crate 01.png,Should be useed with chest opening animation
Coffin.png,Furniture,Place lengthwise along a burial-room wall with a clear aisle beside it.,Yes,Tombstone 01.png; Wall Chain 01.png; Vase Grey.png,Keep upright in the supplied orientation. Confirm footprint separately from sprite height.
Crate 01.png,Furniture,Cluster against storage-room walls or in corners. Keep doors and aisles clear.,Yes,Crate 01.png; Crate 02.png; Gold03.png,Mix both crate variants within small clusters rather than scattering evenly.
Crate 02.png,Furniture,Cluster against storage-room walls or in corners. Keep doors and aisles clear.,Yes,Crate 01.png; Crate 02.png; Gold03.png,Mix both crate variants within small clusters rather than scattering evenly.
Door Closed.png,Door / connector,Fit a doorway and align with the matching open-door sprite.,Yes while closed,Doors Open.png; Key.png; Botton 01.png,Closed double door. Opening and lock behavior require a design decision.
Door Rock.png,Door / connector,Fit a stone doorway in a crypt or masonry wall.,Yes while closed (confirm),Coffin.png; Tombstone 02.png; Key.png,Confirm whether this is an operable door or a sealed tomb entrance.
Doors Open.png,Door / connector,Use the same doorway footprint as the closed double door.,No in opening; posts remain solid,Door Closed.png,Looks like the open counterpart of Door Closed.png. Keep the center traversable.
Flag Blue Big.png,Wall decoration,Hang on exposed wall faces. Space evenly or pair around a focal point.,No,Lamp.png; Paiting Big.png; Throne.png,Long banner: allow vertical clearance and keep door openings clear. Preserve orientation.
Flag Blue.png,Wall decoration,Hang on exposed wall faces. Space evenly or pair around a focal point.,No,Lamp.png; Paiting Big.png; Throne.png,Use one flag color per room or faction. Preserve orientation.
Flag Green Big.png,Wall decoration,Hang on exposed wall faces. Space evenly or pair around a focal point.,No,Lamp.png; Paiting Big.png; Throne.png,Long banner: allow vertical clearance and keep door openings clear. Preserve orientation.
Flag Green.png,Wall decoration,Hang on exposed wall faces. Space evenly or pair around a focal point.,No,Lamp.png; Paiting Big.png; Throne.png,Use one flag color per room or faction. Preserve orientation.
Flag Red Big.png,Wall decoration,Hang on exposed wall faces. Space evenly or pair around a focal point.,No,Lamp.png; Paiting Big.png; Throne.png,Long banner: allow vertical clearance and keep door openings clear. Preserve orientation.
Flag Red.png,Wall decoration,Hang on exposed wall faces. Space evenly or pair around a focal point.,No,Lamp.png; Paiting Big.png; Throne.png,Use one flag color per room or faction. Preserve orientation.
Flag Yellow Big.png,Wall decoration,Hang on exposed wall faces. Space evenly or pair around a focal point.,No,Lamp.png; Paiting Big.png; Throne.png,Long banner: allow vertical clearance and keep door openings clear. Preserve orientation.
Flag Yellow.png,Wall decoration,Hang on exposed wall faces. Space evenly or pair around a focal point.,No,Lamp.png; Paiting Big.png; Throne.png,Use one flag color per room or faction. Preserve orientation.
Gold Rock.png,Natural obstacle,Place in a mining alcove or rare treasure area beside ordinary rocks.,Yes,Rock01.png; Rock02.png; Gold03.png,Looks like gold-bearing rock. Mining or resource interaction is unconfirmed.
Gold01.png,Pickup,Group on a treasure-room floor or beside a chest.,No,Chest.png; Gold Rock.png,Confirm collectible gold versus purely visual treasure. Avoid implying rewards for decorative copies.
Gold02.png,Pickup,Group on a treasure-room floor or beside a chest.,No,Chest.png; Gold Rock.png,Confirm collectible gold versus purely visual treasure. Avoid implying rewards for decorative copies.
Gold03.png,Pickup,Group on a treasure-room floor or beside a chest.,No,Chest.png; Gold Rock.png,Confirm collectible gold versus purely visual treasure. Avoid implying rewards for decorative copies.
Iron Door.png,Door / connector,Use at a cell or barred enclosure entrance.,Yes while closed,Iron Fance.png; Wall Chain 01.png,Confirm operable gate versus fixed barred opening.
Iron Fance Moss.png,Barrier,Join into straight railing runs at enclosure edges. Leave a deliberate opening.,Yes,Iron Door.png; Wall Chain 02.png,Weathered variant for damp or abandoned rooms. Preserve upright orientation.
Iron Fance.png,Barrier,Join into straight railing runs at enclosure edges. Leave a deliberate opening.,Yes,Iron Door.png; Wall Chain 02.png,Preserve upright orientation; verify end connections.
Key.png,Pickup,Place on reachable floor or a display table must be associated with a locked door or chest.,No,Door Closed.png; Iron Door.png,Only use as a reward if a corresponding key/lock mechanic is approved.
Lamp Big.png,Lighting / fixture,"Place upright beside entrances or along room edges, spaced between other fixtures.",Yes (base only),Flag Green.png; Iron Door.png; Throne.png,Looks like a standing lamp/post rather than a flame sprite. Confirm floor-mounted versus wall-mounted use and light effect.
Lamp.png,Lighting / fixture,"Place upright beside entrances or along room edges, spaced between other fixtures.",Yes,Flag Green.png; Iron Door.png; Throne.png,Looks like a standing lamp/post rather than a flame sprite. Confirm floor-mounted versus wall-mounted use and light effect.
Paiting 1.png,Wall decoration,Mount on a clear back wall keep multiple painting density low,No,Table.png; Book shelf 01.png; Lamp.png,Keep upright. Do not put on floors or across door openings.
Paiting 2.png,Wall decoration,Mount on a clear back wall keep multiple painting density low,No,Table.png; Book shelf 01.png; Lamp.png,Keep upright. Do not put on floors or across door openings.
Paiting 3.png,Wall decoration,Mount on a clear back wall keep multiple painting density low,No,Table.png; Book shelf 01.png; Lamp.png,Keep upright. Do not put on floors or across door openings.
Paiting 4.png,Wall decoration,Mount on a clear back wall keep multiple painting density low,No,Table.png; Book shelf 01.png; Lamp.png,Keep upright. Do not put on floors or across door openings.
Paiting Big.png,Wall decoration,Mount on a clear back wall keep multiple painting density low,No,Table.png; Book shelf 01.png; Lamp.png,Use as an occasional focal point above a throne or reading area.
Pile of Books 01.png,Floor / tabletop detail,Place on ground near book shelf or on tables or boards,No,Book shelf 01.png; Book shelf 02.png; Table.png,Small stack is proposed cosmetic; confirm whether tall stacks should block.
Pile of Books 02.png,Floor / tabletop detail,Place on ground near book shelf or on tables or boards,No,Book shelf 01.png; Book shelf 02.png; Table.png,Small stack is proposed cosmetic; confirm whether tall stacks should block.
Potion HP.png,Pickup / tabletop detail,Place on a supply table or reachable reward tile sparingly,No,Table.png; Scroll.png; Chest.png,Health potion appearance. Confirm pickup versus cosmetic bottle.
Potion Mana.png,Pickup / tabletop detail,Place on a supply table or reachable reward tile sparingly,No,Table.png; Scroll.png; Chest.png,Mana potion appearance. Confirm pickup versus cosmetic bottle.
Rock01.png,Natural obstacle,"Cluster near cave edges or ruined wall sections, leaving routes around them.",Yes,Rock01.png; Rock02.png; Skulls.png,Small rock: proposed solid obstacle; confirm whether you prefer cosmetic rubble.
Rock02.png,Natural obstacle,"Cluster near cave edges or ruined wall sections, leaving routes around them.",Yes,Rock01.png; Rock02.png; Skulls.png,Larger rock: check collision footprint.
Scroll.png,Tabletop detail / pickup,"Place on a desk, shelf display, or reachable reward tile.",No,Table.png; Book Red.png; Potion Mana.png,Confirm decorative scroll versus readable or collectible item.
Shield.png,Equipment display / pickup,Display on an armory wall or table; use floor placement only for deliberate loot.,No,Sword.png; Shield.png; Crate 01.png,Confirm wall-mounted display versus dropped equipment. Preserve lighting when mirroring.
Skulls.png,Floor detail,"Scatter sparingly near coffins, ruined walls, or burial corners.",No,Coffin.png; Tombstone 01.png; Rock01.png,Keep density low so skulls read as a deliberate location detail.
Sword.png,Equipment display / pickup,Display on an armory wall or table; use floor placement only for deliberate loot.,No,Sword.png; Shield.png; Crate 01.png,Confirm wall-mounted display versus dropped equipment. Preserve lighting when mirroring.
